2024-08-29T12:17:28.512463,interface,0.442,0.462,0.104
2024-08-29T12:17:28.578461,interface,0.546,0.536,0.075
2024-08-29T12:17:28.582499,interface,0.498,0.547,0.0
2024-08-29T12:17:28.584732,interface,0.477,0.585,0.0
2024-08-29T12:17:28.586604,interface,0.785,0.505,0.071
2024-08-29T12:17:28.588685,interface,0.788,0.487,0.22
2024-08-29T12:17:28.590582,interface,0.367,0.403,0.838
2024-08-29T12:17:28.592927,interface,0.347,0.412,0.8809999
2024-08-29T12:17:28.594957,interface,1.0,0.541,0.09
2024-08-29T12:17:28.596690,interface,1.0,0.475,0.0
2024-08-29T12:17:28.598751,interface,0.904,0.494,0.0
2024-08-29T12:17:28.600787,interface,0.696,0.503,0.067
2024-08-29T12:17:28.602497,interface,0.146,0.63,0.774
2024-08-29T12:17:28.604216,interface,0.225,0.776,0.713
2024-08-29T12:17:28.606417,interface,0.44,0.83,0.22
2024-08-29T12:17:28.608541,interface,0.588,1.0,0.0
2024-08-29T12:17:28.610303,interface,0.809,0.8059999,0.0
2024-08-29T12:17:28.611950,interface,1.0,0.518,0.0
2024-08-29T12:17:28.614004,interface,0.614,0.605,0.029
2024-08-29T12:17:28.616120,interface,0.578,0.603,0.049
2024-08-29T12:17:28.618835,interface,0.671,0.592,0.022
2024-08-29T12:17:28.620980,interface,0.694,0.595,0.0
2024-08-29T12:17:28.623051,interface,0.63,0.591,0.074
2024-08-29T12:17:28.625128,interface,0.772,0.658,0.004
2024-08-29T12:17:28.626829,interface,0.759,0.652,0.0
2024-08-29T12:17:28.628797,interface,0.705,0.636,0.0
2024-08-29T12:17:28.630722,interface,0.764,0.612,0.0
2024-08-29T12:17:28.632787,interface,0.674,0.66,0.0
2024-08-29T12:17:28.634781,interface,0.741,0.626,0.0
2024-08-29T12:17:28.636661,interface,0.643,0.606,0.0
2024-08-29T12:17:28.638741,interface,0.682,0.577,0.0
2024-08-29T12:17:28.640536,interface,0.579,0.661,0.0
2024-08-29T12:17:28.642677,interface,0.546,0.619,0.0
2024-08-29T12:17:28.644861,interface,0.557,0.569,0.0
2024-08-29T12:17:28.646772,interface,0.508,0.588,0.0
2024-08-29T12:17:28.648807,interface,0.508,0.591,0.0
2024-08-29T12:17:28.650886,interface,0.521,0.593,0.0
2024-08-29T12:17:28.652998,interface,0.504,0.571,0.025
2024-08-29T12:17:28.655074,interface,0.438,0.594,0.0
2024-08-29T12:17:28.657057,interface,0.535,0.57,0.0
2024-08-29T12:17:28.658737,interface,0.518,0.563,0.003
2024-08-29T12:17:28.660663,interface,0.389,0.566,0.144
2024-08-29T12:17:28.662789,interface,0.409,0.611,0.0
2024-08-29T12:17:28.664676,interface,0.623,0.523,0.0
2024-08-29T12:17:28.666362,interface,0.571,0.523,0.035
2024-08-29T12:17:28.668018,interface,0.538,0.613,0.0
2024-08-29T12:17:28.680171,interface,0.628,0.52,0.0
2024-08-29T12:17:28.682292,interface,0.448,0.557,0.0
2024-08-29T12:17:28.684560,interface,0.444,0.619,0.0
2024-08-29T12:17:28.686606,interface,0.557,0.556,0.0
2024-08-29T12:17:28.688593,interface,0.491,0.554,0.0
2024-08-29T12:17:28.690441,interface,0.459,0.501,0.122
2024-08-29T12:17:28.692323,interface,0.403,0.549,0.138
2024-08-29T12:17:28.694469,interface,0.2,0.682,0.247
2024-08-29T12:17:28.696610,interface,0.454,0.88,0.454
2024-08-29T12:17:28.698648,interface,0.402,0.742,0.002
2024-08-29T12:17:28.700414,interface,0.413,0.741,0.149
2024-08-29T12:17:28.702078,interface,0.063,0.659,0.408
2024-08-29T12:17:28.703869,interface,0.083,0.697,0.582
2024-08-29T12:17:28.705588,interface,0.083,0.626,0.244
2024-08-29T12:17:28.707156,interface,0.251,0.487,0.863
2024-08-29T12:17:28.709198,interface,0.248,0.519,0.807
2024-08-29T12:17:28.711033,interface,0.977,0.532,0.031
2024-08-29T12:17:28.712905,interface,0.0,0.615,0.498
2024-08-29T12:17:28.714881,interface,0.038,0.436,0.504
2024-08-29T12:17:28.716802,interface,0.477,0.387,0.871
2024-08-29T12:17:28.718634,interface,0.385,0.487,0.867
2024-08-29T12:17:28.720537,interface,0.279,0.53,1.0
2024-08-29T12:17:28.722317,interface,0.979,0.41,0.517
2024-08-29T12:17:28.724493,interface,0.224,0.439,0.002
2024-08-29T12:17:28.726515,interface,0.575,0.455,0.127
2024-08-29T12:17:28.728558,interface,0.684,0.427,0.14
2024-08-29T12:17:28.730587,interface,0.559,0.453,0.056
2024-08-29T12:17:28.732564,interface,0.509,0.467,0.094
2024-08-29T12:17:28.734648,interface,0.541,0.436,0.126
2024-08-29T12:17:28.736747,interface,0.458,0.45,0.058
2024-08-29T12:17:28.738730,interface,0.521,0.457,0.126
2024-08-29T12:17:28.740444,interface,0.482,0.457,0.05900001
2024-08-29T12:17:28.742068,interface,0.589,0.458,0.076
2024-08-29T12:17:28.744173,interface,0.615,0.45,0.09700001
2024-08-29T12:17:28.746094,interface,0.184,0.583,0.256
2024-08-29T12:17:28.747796,interface,0.005,0.505,0.567
2024-08-29T12:17:28.749884,interface,0.27,0.29,1.0
2024-08-29T12:17:28.751964,interface,0.151,0.608,1.0
2024-08-29T12:17:28.753887,interface,0.244,0.493,0.862
2024-08-29T12:17:28.755947,interface,0.108,0.697,1.0
2024-08-29T12:17:28.757919,interface,0.108,0.72,1.0
2024-08-29T12:17:28.759778,interface,0.29,0.518,0.88
2024-08-29T12:17:28.768578,interface,0.103,0.58,1.0
2024-08-29T12:17:28.770607,interface,0.228,0.546,0.942
2024-08-29T12:17:28.772631,interface,0.168,0.792,1.0
2024-08-29T12:17:28.774421,interface,0.294,0.526,0.814
2024-08-29T12:17:28.776540,interface,0.254,0.568,0.8349999
2024-08-29T12:17:28.778508,interface,0.444,0.551,0.946
2024-08-29T12:17:28.780665,interface,0.17,0.478,0.82
2024-08-29T12:17:28.782606,interface,0.0,0.632,1.0
